crosskingdom,superkingdom,kingdom,subkingdom,phylum,class,order,family,genus,species,subspecies,# crosskingdom,# superkingdom,# kingdom,# subkingdom,# phylum,# class,# order,# family,# genus,# species,# subspecies,# total
11,11,,,,,11,,9,8,13,,,,,,,,,,,,
8,10,,,,,8,,11,8,15,,,,,,,,,,,,
8,9,,,,,10,,8,9,13,,,,,,,,,,,,
7,9,,,,,8,,9,8,9,,,,,,,,,,,,
7,7,,,,,12,,9,11,8,,,,,,,,,,,,
8,9,,,,,15,,7,8,13,,,,,,,,,,,,
7,8,,,,,14,,7,9,8,,,,,,,,,,,,
7,7,,,,,8,,,8,10,,,,,,,,,,,,
8,8,,,,,9,,,8,8,,,,,,,,,,,,
7,8,,,,,9,,,9,8,,,,,,,,,,,,
7,8,,,,,13,,,8,9,,,,,,,,,,,,
8,7,,,,,11,,,13,8,,,,,,,,,,,,
7,11,,,,,16,,,9,11,,,,,,,,,,,,
6,8,,,,,9,,,9,11,,,,,,,,,,,,
8,8,,,,,14,,,9,8,,,,,,,,,,,,
6,8,,,,,9,,,8,11,,,,,,,,,,,,
5,7,,,,,16,,,9,10,,,,,,,,,,,,
7,10,,,,,6,,,8,9,,,,,,,,,,,,
9,9,,,,,8,,,7,10,,,,,,,,,,,,
7,9,,,,,9,,,9,12,,,,,,,,,,,,
7,8,,,,,11,,,7,11,,,,,,,,,,,,
9,8,,,,,9,,,8,15,,,,,,,,,,,,
8,10,,,,,10,,,7,11,,,,,,,,,,,,
7,8,,,,,11,,,7,12,,,,,,,,,,,,
8,8,,,,,17,,,9,10,,,,,,,,,,,,
7,8,,,,,19,,,8,9,,,,,,,,,,,,
8,8,,,,,13,,,9,8,,,,,,,,,,,,
7,7,,,,,10,,,8,9,,,,,,,,,,,,
8,8,,,,,8,,,9,8,,,,,,,,,,,,
8,10,,,,,15,,,8,9,,,,,,,,,,,,
7,12,,,,,7,,,8,14,,,,,,,,,,,,
7,9,,,,,17,,,7,10,,,,,,,,,,,,
6,8,,,,,18,,,9,12,,,,,,,,,,,,
11,9,,,,,15,,,8,11,,,,,,,,,,,,
7,9,,,,,15,,,8,9,,,,,,,,,,,,
11,8,,,,,14,,,8,8,,,,,,,,,,,,
7,12,,,,,,,,7,10,,,,,,,,,,,,
11,8,,,,,,,,9,9,,,,,,,,,,,,
8,7,,,,,,,,8,8,,,,,,,,,,,,
8,8,,,,,,,,9,14,,,,,,,,,,,,
8,11,,,,,,,,7,12,,,,,,,,,,,,
8,9,,,,,,,,8,12,,,,,,,,,,,,
5,12,,,,,,,,8,11,,,,,,,,,,,,
7,11,,,,,,,,8,10,,,,,,,,,,,,
8,8,,,,,,,,8,10,,,,,,,,,,,,
6,12,,,,,,,,8,9,,,,,,,,,,,,
7,13,,,,,,,,8,11,,,,,,,,,,,,
8,8,,,,,,,,8,12,,,,,,,,,,,,
10,12,,,,,,,,8,9,,,,,,,,,,,,
8,8,,,,,,,,9,16,,,,,,,,,,,,
5,9,,,,,,,,11,9,,,,,,,,,,,,
10,7,,,,,,,,11,11,,,,,,,,,,,,
12,9,,,,,,,,12,9,,,,,,,,,,,,
7,8,,,,,,,,10,8,,,,,,,,,,,,
6,7,,,,,,,,10,11,,,,,,,,,,,,
7,9,,,,,,,,11,11,,,,,,,,,,,,
7,8,,,,,,,,12,11,,,,,,,,,,,,
8,7,,,,,,,,10,10,,,,,,,,,,,,
7,15,,,,,,,,9,9,,,,,,,,,,,,
6,8,,,,,,,,11,12,,,,,,,,,,,,
6,8,,,,,,,,9,9,,,,,,,,,,,,
8,8,,,,,,,,8,9,,,,,,,,,,,,
7,8,,,,,,,,10,10,,,,,,,,,,,,
7,8,,,,,,,,10,14,,,,,,,,,,,,
11,9,,,,,,,,10,9,,,,,,,,,,,,
7,9,,,,,,,,10,9,,,,,,,,,,,,
9,7,,,,,,,,11,9,,,,,,,,,,,,
7,8,,,,,,,,14,9,,,,,,,,,,,,
6,12,,,,,,,,11,9,,,,,,,,,,,,
8,13,,,,,,,,10,8,,,,,,,,,,,,
8,13,,,,,,,,10,10,,,,,,,,,,,,
8,9,,,,,,,,10,8,,,,,,,,,,,,
8,10,,,,,,,,10,9,,,,,,,,,,,,
8,8,,,,,,,,9,11,,,,,,,,,,,,
13,7,,,,,,,,9,9,,,,,,,,,,,,
8,8,,,,,,,,9,11,,,,,,,,,,,,
11,9,,,,,,,,16,9,,,,,,,,,,,,
7,7,,,,,,,,11,7,,,,,,,,,,,,
6,8,,,,,,,,9,10,,,,,,,,,,,,
6,7,,,,,,,,7,11,,,,,,,,,,,,
7,8,,,,,,,,10,9,,,,,,,,,,,,
11,9,,,,,,,,10,13,,,,,,,,,,,,
9,6,,,,,,,,10,8,,,,,,,,,,,,
8,8,,,,,,,,9,11,,,,,,,,,,,,
7,11,,,,,,,,10,9,,,,,,,,,,,,
7,7,,,,,,,,8,12,,,,,,,,,,,,
11,8,,,,,,,,8,12,,,,,,,,,,,,
7,8,,,,,,,,13,10,,,,,,,,,,,,
7,7,,,,,,,,13,9,,,,,,,,,,,,
8,12,,,,,,,,14,11,,,,,,,,,,,,
8,11,,,,,,,,10,11,,,,,,,,,,,,
7,10,,,,,,,,7,10,,,,,,,,,,,,
7,10,,,,,,,,8,12,,,,,,,,,,,,
9,11,,,,,,,,8,10,,,,,,,,,,,,
6,13,,,,,,,,10,12,,,,,,,,,,,,
7,13,,,,,,,,9,8,,,,,,,,,,,,
7,9,,,,,,,,10,10,,,,,,,,,,,,
7,8,,,,,,,,12,12,,,,,,,,,,,,
8,8,,,,,,,,9,11,,,,,,,,,,,,
8,7,,,,,,,,8,9,,,,,,,,,,,,
7,8,,,,,,,,11,8,,,,,,,,,,,,
6,9,,,,,,,,13,13,,,,,,,,,,,,
12,8,,,,,,,,8,9,,,,,,,,,,,,
11,8,,,,,,,,10,10,,,,,,,,,,,,
8,13,,,,,,,,9,11,,,,,,,,,,,,
7,11,,,,,,,,12,11,,,,,,,,,,,,
8,11,,,,,,,,9,13,,,,,,,,,,,,
6,8,,,,,,,,8,12,,,,,,,,,,,,
7,14,,,,,,,,11,14,,,,,,,,,,,,
6,7,,,,,,,,10,11,,,,,,,,,,,,
7,7,,,,,,,,11,10,,,,,,,,,,,,
7,8,,,,,,,,9,10,,,,,,,,,,,,
7,8,,,,,,,,11,12,,,,,,,,,,,,
6,9,,,,,,,,8,8,,,,,,,,,,,,
7,7,,,,,,,,7,9,,,,,,,,,,,,
7,10,,,,,,,,10,11,,,,,,,,,,,,
6,12,,,,,,,,8,7,,,,,,,,,,,,
7,9,,,,,,,,8,10,,,,,,,,,,,,
8,8,,,,,,,,9,11,,,,,,,,,,,,
7,7,,,,,,,,10,12,,,,,,,,,,,,
7,11,,,,,,,,9,10,,,,,,,,,,,,
8,8,,,,,,,,11,10,,,,,,,,,,,,
8,8,,,,,,,,12,9,,,,,,,,,,,,
8,8,,,,,,,,9,9,,,,,,,,,,,,
8,8,,,,,,,,11,8,,,,,,,,,,,,
7,8,,,,,,,,10,13,,,,,,,,,,,,
8,8,,,,,,,,13,8,,,,,,,,,,,,
8,7,,,,,,,,9,12,,,,,,,,,,,,
5,8,,,,,,,,8,10,,,,,,,,,,,,
7,8,,,,,,,,9,12,,,,,,,,,,,,
6,13,,,,,,,,9,9,,,,,,,,,,,,
10,11,,,,,,,,10,11,,,,,,,,,,,,
7,7,,,,,,,,12,12,,,,,,,,,,,,
7,12,,,,,,,,10,15,,,,,,,,,,,,
7,7,,,,,,,,8,9,,,,,,,,,,,,
6,8,,,,,,,,10,11,,,,,,,,,,,,
7,7,,,,,,,,7,10,,,,,,,,,,,,
8,10,,,,,,,,7,9,,,,,,,,,,,,
8,9,,,,,,,,12,11,,,,,,,,,,,,
6,10,,,,,,,,8,11,,,,,,,,,,,,
7,8,,,,,,,,9,13,,,,,,,,,,,,
5,11,,,,,,,,12,9,,,,,,,,,,,,
7,8,,,,,,,,8,13,,,,,,,,,,,,
8,9,,,,,,,,9,10,,,,,,,,,,,,
7,9,,,,,,,,9,12,,,,,,,,,,,,
7,11,,,,,,,,10,11,,,,,,,,,,,,
5,8,,,,,,,,10,9,,,,,,,,,,,,
6,8,,,,,,,,10,10,,,,,,,,,,,,
7,8,,,,,,,,9,13,,,,,,,,,,,,
5,8,,,,,,,,9,9,,,,,,,,,,,,
7,9,,,,,,,,8,9,,,,,,,,,,,,
5,10,,,,,,,,8,12,,,,,,,,,,,,
10,11,,,,,,,,8,11,,,,,,,,,,,,
7,10,,,,,,,,9,11,,,,,,,,,,,,
7,8,,,,,,,,11,12,,,,,,,,,,,,
9,8,,,,,,,,11,10,,,,,,,,,,,,
6,10,,,,,,,,10,10,,,,,,,,,,,,
6,9,,,,,,,,9,9,,,,,,,,,,,,
8,8,,,,,,,,10,8,,,,,,,,,,,,
5,7,,,,,,,,10,12,,,,,,,,,,,,
7,10,,,,,,,,10,12,,,,,,,,,,,,
8,8,,,,,,,,8,14,,,,,,,,,,,,
6,8,,,,,,,,10,9,,,,,,,,,,,,
7,11,,,,,,,,12,11,,,,,,,,,,,,
12,8,,,,,,,,9,9,,,,,,,,,,,,
7,9,,,,,,,,8,10,,,,,,,,,,,,
6,7,,,,,,,,9,9,,,,,,,,,,,,
6,7,,,,,,,,8,10,,,,,,,,,,,,
7,8,,,,,,,,10,14,,,,,,,,,,,,
8,17,,,,,,,,9,10,,,,,,,,,,,,
7,7,,,,,,,,9,13,,,,,,,,,,,,
7,9,,,,,,,,10,9,,,,,,,,,,,,
7,7,,,,,,,,10,14,,,,,,,,,,,,
6,8,,,,,,,,10,8,,,,,,,,,,,,
7,8,,,,,,,,10,9,,,,,,,,,,,,
7,16,,,,,,,,12,11,,,,,,,,,,,,
7,12,,,,,,,,8,9,,,,,,,,,,,,
7,8,,,,,,,,10,9,,,,,,,,,,,,
13,8,,,,,,,,11,8,,,,,,,,,,,,
6,11,,,,,,,,16,12,,,,,,,,,,,,
6,8,,,,,,,,9,11,,,,,,,,,,,,
5,7,,,,,,,,13,10,,,,,,,,,,,,
7,9,,,,,,,,9,9,,,,,,,,,,,,
6,11,,,,,,,,8,9,,,,,,,,,,,,
8,9,,,,,,,,12,14,,,,,,,,,,,,
7,8,,,,,,,,10,15,,,,,,,,,,,,
6,10,,,,,,,,10,11,,,,,,,,,,,,
9,10,,,,,,,,10,9,,,,,,,,,,,,
6,11,,,,,,,,9,11,,,,,,,,,,,,
8,7,,,,,,,,12,11,,,,,,,,,,,,
7,8,,,,,,,,11,9,,,,,,,,,,,,
8,10,,,,,,,,12,11,,,,,,,,,,,,
7,7,,,,,,,,14,13,,,,,,,,,,,,
8,9,,,,,,,,9,11,,,,,,,,,,,,
7,9,,,,,,,,10,12,,,,,,,,,,,,
6,8,,,,,,,,12,15,,,,,,,,,,,,
11,9,,,,,,,,10,13,,,,,,,,,,,,
7,8,,,,,,,,11,10,,,,,,,,,,,,
6,8,,,,,,,,10,10,,,,,,,,,,,,
8,9,,,,,,,,10,11,,,,,,,,,,,,
7,8,,,,,,,,10,11,,,,,,,,,,,,
6,12,,,,,,,,9,14,,,,,,,,,,,,
7,10,,,,,,,,11,11,,,,,,,,,,,,
7,7,,,,,,,,13,8,,,,,,,,,,,,
7,8,,,,,,,,12,9,,,,,,,,,,,,
8,8,,,,,,,,11,10,,,,,,,,,,,,
8,10,,,,,,,,8,8,,,,,,,,,,,,
8,15,,,,,,,,8,12,,,,,,,,,,,,
8,7,,,,,,,,10,13,,,,,,,,,,,,
6,8,,,,,,,,10,12,,,,,,,,,,,,
7,12,,,,,,,,9,8,,,,,,,,,,,,
7,11,,,,,,,,10,9,,,,,,,,,,,,
8,11,,,,,,,,9,12,,,,,,,,,,,,
8,7,,,,,,,,13,9,,,,,,,,,,,,
8,8,,,,,,,,11,12,,,,,,,,,,,,
7,10,,,,,,,,15,10,,,,,,,,,,,,
10,11,,,,,,,,12,11,,,,,,,,,,,,
7,8,,,,,,,,8,9,,,,,,,,,,,,
7,7,,,,,,,,8,10,,,,,,,,,,,,
7,7,,,,,,,,11,11,,,,,,,,,,,,
8,16,,,,,,,,10,9,,,,,,,,,,,,
8,7,,,,,,,,12,12,,,,,,,,,,,,
8,8,,,,,,,,15,8,,,,,,,,,,,,
8,7,,,,,,,,8,11,,,,,,,,,,,,
5,11,,,,,,,,14,8,,,,,,,,,,,,
7,7,,,,,,,,9,8,,,,,,,,,,,,
8,8,,,,,,,,11,10,,,,,,,,,,,,
7,8,,,,,,,,10,12,,,,,,,,,,,,
8,15,,,,,,,,10,9,,,,,,,,,,,,
8,7,,,,,,,,17,13,,,,,,,,,,,,
7,7,,,,,,,,12,11,,,,,,,,,,,,
13,12,,,,,,,,10,9,,,,,,,,,,,,
13,8,,,,,,,,9,12,,,,,,,,,,,,
6,8,,,,,,,,9,10,,,,,,,,,,,,
8,11,,,,,,,,9,9,,,,,,,,,,,,
6,8,,,,,,,,9,10,,,,,,,,,,,,
6,8,,,,,,,,12,11,,,,,,,,,,,,
5,17,,,,,,,,11,15,,,,,,,,,,,,
9,11,,,,,,,,9,16,,,,,,,,,,,,
7,8,,,,,,,,12,8,,,,,,,,,,,,
8,8,,,,,,,,8,10,,,,,,,,,,,,
7,9,,,,,,,,12,14,,,,,,,,,,,,
7,16,,,,,,,,9,8,,,,,,,,,,,,
7,8,,,,,,,,16,12,,,,,,,,,,,,
6,15,,,,,,,,13,9,,,,,,,,,,,,
6,8,,,,,,,,9,11,,,,,,,,,,,,
8,8,,,,,,,,9,13,,,,,,,,,,,,
9,9,,,,,,,,11,15,,,,,,,,,,,,
7,13,,,,,,,,9,11,,,,,,,,,,,,
7,10,,,,,,,,9,9,,,,,,,,,,,,
7,8,,,,,,,,12,11,,,,,,,,,,,,
7,9,,,,,,,,13,9,,,,,,,,,,,,
8,7,,,,,,,,12,9,,,,,,,,,,,,
7,8,,,,,,,,10,12,,,,,,,,,,,,
8,7,,,,,,,,10,9,,,,,,,,,,,,
7,12,,,,,,,,11,9,,,,,,,,,,,,
12,8,,,,,,,,15,9,,,,,,,,,,,,
7,8,,,,,,,,10,8,,,,,,,,,,,,
7,8,,,,,,,,10,14,,,,,,,,,,,,
10,7,,,,,,,,14,16,,,,,,,,,,,,
7,17,,,,,,,,13,11,,,,,,,,,,,,
6,8,,,,,,,,10,11,,,,,,,,,,,,
8,8,,,,,,,,10,9,,,,,,,,,,,,
7,7,,,,,,,,14,10,,,,,,,,,,,,
7,7,,,,,,,,9,12,,,,,,,,,,,,
8,8,,,,,,,,8,8,,,,,,,,,,,,
9,8,,,,,,,,8,12,,,,,,,,,,,,
8,8,,,,,,,,14,11,,,,,,,,,,,,
8,8,,,,,,,,7,11,,,,,,,,,,,,
7,7,,,,,,,,13,12,,,,,,,,,,,,
8,13,,,,,,,,12,11,,,,,,,,,,,,
7,,,,,,,,,11,9,,,,,,,,,,,,
11,,,,,,,,,10,9,,,,,,,,,,,,
9,,,,,,,,,10,9,,,,,,,,,,,,
6,,,,,,,,,12,8,,,,,,,,,,,,
8,,,,,,,,,12,12,,,,,,,,,,,,
7,,,,,,,,,14,9,,,,,,,,,,,,
6,,,,,,,,,12,8,,,,,,,,,,,,
8,,,,,,,,,9,19,,,,,,,,,,,,
9,,,,,,,,,15,11,,,,,,,,,,,,
9,,,,,,,,,9,15,,,,,,,,,,,,
7,,,,,,,,,9,10,,,,,,,,,,,,
6,,,,,,,,,9,12,,,,,,,,,,,,
8,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,11,10,,,,,,,,,,,,
8,,,,,,,,,13,17,,,,,,,,,,,,
7,,,,,,,,,9,14,,,,,,,,,,,,
8,,,,,,,,,14,8,,,,,,,,,,,,
5,,,,,,,,,13,10,,,,,,,,,,,,
7,,,,,,,,,14,10,,,,,,,,,,,,
7,,,,,,,,,14,10,,,,,,,,,,,,
8,,,,,,,,,13,9,,,,,,,,,,,,
11,,,,,,,,,9,10,,,,,,,,,,,,
6,,,,,,,,,12,13,,,,,,,,,,,,
7,,,,,,,,,11,11,,,,,,,,,,,,
8,,,,,,,,,8,7,,,,,,,,,,,,
7,,,,,,,,,13,11,,,,,,,,,,,,
8,,,,,,,,,9,12,,,,,,,,,,,,
8,,,,,,,,,9,8,,,,,,,,,,,,
8,,,,,,,,,12,8,,,,,,,,,,,,
11,,,,,,,,,12,14,,,,,,,,,,,,
6,,,,,,,,,10,14,,,,,,,,,,,,
8,,,,,,,,,11,9,,,,,,,,,,,,
7,,,,,,,,,9,12,,,,,,,,,,,,
10,,,,,,,,,11,11,,,,,,,,,,,,
11,,,,,,,,,8,9,,,,,,,,,,,,
9,,,,,,,,,9,16,,,,,,,,,,,,
7,,,,,,,,,8,9,,,,,,,,,,,,
8,,,,,,,,,11,10,,,,,,,,,,,,
6,,,,,,,,,13,17,,,,,,,,,,,,
7,,,,,,,,,10,14,,,,,,,,,,,,
7,,,,,,,,,11,11,,,,,,,,,,,,
8,,,,,,,,,9,8,,,,,,,,,,,,
7,,,,,,,,,9,11,,,,,,,,,,,,
8,,,,,,,,,9,10,,,,,,,,,,,,
5,,,,,,,,,12,9,,,,,,,,,,,,
5,,,,,,,,,8,13,,,,,,,,,,,,
8,,,,,,,,,12,12,,,,,,,,,,,,
7,,,,,,,,,10,15,,,,,,,,,,,,
8,,,,,,,,,8,15,,,,,,,,,,,,
7,,,,,,,,,8,13,,,,,,,,,,,,
11,,,,,,,,,13,10,,,,,,,,,,,,
7,,,,,,,,,8,18,,,,,,,,,,,,
10,,,,,,,,,15,9,,,,,,,,,,,,
9,,,,,,,,,11,16,,,,,,,,,,,,
7,,,,,,,,,15,10,,,,,,,,,,,,
9,,,,,,,,,12,12,,,,,,,,,,,,
9,,,,,,,,,13,12,,,,,,,,,,,,
8,,,,,,,,,10,7,,,,,,,,,,,,
8,,,,,,,,,9,10,,,,,,,,,,,,
7,,,,,,,,,14,9,,,,,,,,,,,,
7,,,,,,,,,8,10,,,,,,,,,,,,
7,,,,,,,,,9,11,,,,,,,,,,,,
6,,,,,,,,,12,9,,,,,,,,,,,,
8,,,,,,,,,12,13,,,,,,,,,,,,
7,,,,,,,,,8,10,,,,,,,,,,,,
7,,,,,,,,,10,10,,,,,,,,,,,,
16,,,,,,,,,9,13,,,,,,,,,,,,
7,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,14,10,,,,,,,,,,,,
7,,,,,,,,,13,10,,,,,,,,,,,,
7,,,,,,,,,9,13,,,,,,,,,,,,
7,,,,,,,,,7,14,,,,,,,,,,,,
7,,,,,,,,,12,11,,,,,,,,,,,,
5,,,,,,,,,11,12,,,,,,,,,,,,
7,,,,,,,,,11,8,,,,,,,,,,,,
10,,,,,,,,,10,13,,,,,,,,,,,,
7,,,,,,,,,16,11,,,,,,,,,,,,
6,,,,,,,,,8,9,,,,,,,,,,,,
7,,,,,,,,,9,10,,,,,,,,,,,,
5,,,,,,,,,9,12,,,,,,,,,,,,
17,,,,,,,,,10,8,,,,,,,,,,,,
8,,,,,,,,,11,15,,,,,,,,,,,,
7,,,,,,,,,17,9,,,,,,,,,,,,
7,,,,,,,,,11,15,,,,,,,,,,,,
6,,,,,,,,,14,11,,,,,,,,,,,,
7,,,,,,,,,13,17,,,,,,,,,,,,
6,,,,,,,,,19,9,,,,,,,,,,,,
7,,,,,,,,,10,8,,,,,,,,,,,,
7,,,,,,,,,9,10,,,,,,,,,,,,
7,,,,,,,,,15,9,,,,,,,,,,,,
11,,,,,,,,,16,14,,,,,,,,,,,,
7,,,,,,,,,11,14,,,,,,,,,,,,
6,,,,,,,,,13,10,,,,,,,,,,,,
7,,,,,,,,,8,11,,,,,,,,,,,,
7,,,,,,,,,12,18,,,,,,,,,,,,
7,,,,,,,,,14,10,,,,,,,,,,,,
11,,,,,,,,,15,13,,,,,,,,,,,,
6,,,,,,,,,20,13,,,,,,,,,,,,
7,,,,,,,,,11,16,,,,,,,,,,,,
6,,,,,,,,,8,16,,,,,,,,,,,,
6,,,,,,,,,16,8,,,,,,,,,,,,
8,,,,,,,,,14,13,,,,,,,,,,,,
7,,,,,,,,,16,8,,,,,,,,,,,,
7,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,11,11,,,,,,,,,,,,
22,,,,,,,,,12,8,,,,,,,,,,,,
10,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,13,11,,,,,,,,,,,,
8,,,,,,,,,11,9,,,,,,,,,,,,
6,,,,,,,,,11,9,,,,,,,,,,,,
5,,,,,,,,,13,15,,,,,,,,,,,,
6,,,,,,,,,15,10,,,,,,,,,,,,
8,,,,,,,,,10,13,,,,,,,,,,,,
8,,,,,,,,,15,14,,,,,,,,,,,,
9,,,,,,,,,10,8,,,,,,,,,,,,
8,,,,,,,,,15,9,,,,,,,,,,,,
7,,,,,,,,,11,14,,,,,,,,,,,,
8,,,,,,,,,9,9,,,,,,,,,,,,
6,,,,,,,,,10,10,,,,,,,,,,,,
7,,,,,,,,,14,11,,,,,,,,,,,,
7,,,,,,,,,10,15,,,,,,,,,,,,
8,,,,,,,,,13,15,,,,,,,,,,,,
9,,,,,,,,,17,15,,,,,,,,,,,,
6,,,,,,,,,9,13,,,,,,,,,,,,
8,,,,,,,,,12,14,,,,,,,,,,,,
8,,,,,,,,,8,13,,,,,,,,,,,,
6,,,,,,,,,10,8,,,,,,,,,,,,
6,,,,,,,,,17,21,,,,,,,,,,,,
9,,,,,,,,,10,11,,,,,,,,,,,,
14,,,,,,,,,10,15,,,,,,,,,,,,
7,,,,,,,,,14,11,,,,,,,,,,,,
6,,,,,,,,,16,10,,,,,,,,,,,,
6,,,,,,,,,10,9,,,,,,,,,,,,
8,,,,,,,,,10,13,,,,,,,,,,,,
7,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,12,12,,,,,,,,,,,,
5,,,,,,,,,12,9,,,,,,,,,,,,
5,,,,,,,,,9,19,,,,,,,,,,,,
7,,,,,,,,,11,18,,,,,,,,,,,,
5,,,,,,,,,16,8,,,,,,,,,,,,
6,,,,,,,,,11,12,,,,,,,,,,,,
7,,,,,,,,,14,12,,,,,,,,,,,,
7,,,,,,,,,10,20,,,,,,,,,,,,
8,,,,,,,,,15,18,,,,,,,,,,,,
7,,,,,,,,,10,12,,,,,,,,,,,,
8,,,,,,,,,15,13,,,,,,,,,,,,
5,,,,,,,,,10,14,,,,,,,,,,,,
9,,,,,,,,,8,9,,,,,,,,,,,,
6,,,,,,,,,13,10,,,,,,,,,,,,
8,,,,,,,,,13,9,,,,,,,,,,,,
8,,,,,,,,,11,9,,,,,,,,,,,,
8,,,,,,,,,10,17,,,,,,,,,,,,
8,,,,,,,,,14,9,,,,,,,,,,,,
6,,,,,,,,,10,11,,,,,,,,,,,,
8,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,9,8,,,,,,,,,,,,
8,,,,,,,,,12,15,,,,,,,,,,,,
8,,,,,,,,,12,12,,,,,,,,,,,,
6,,,,,,,,,10,10,,,,,,,,,,,,
5,,,,,,,,,11,12,,,,,,,,,,,,
6,,,,,,,,,9,13,,,,,,,,,,,,
9,,,,,,,,,9,13,,,,,,,,,,,,
8,,,,,,,,,13,11,,,,,,,,,,,,
8,,,,,,,,,11,10,,,,,,,,,,,,
7,,,,,,,,,9,10,,,,,,,,,,,,
8,,,,,,,,,12,9,,,,,,,,,,,,
5,,,,,,,,,11,12,,,,,,,,,,,,
8,,,,,,,,,9,13,,,,,,,,,,,,
7,,,,,,,,,12,11,,,,,,,,,,,,
8,,,,,,,,,17,11,,,,,,,,,,,,
7,,,,,,,,,13,14,,,,,,,,,,,,
7,,,,,,,,,15,15,,,,,,,,,,,,
7,,,,,,,,,8,12,,,,,,,,,,,,
8,,,,,,,,,11,12,,,,,,,,,,,,
7,,,,,,,,,9,9,,,,,,,,,,,,
7,,,,,,,,,7,11,,,,,,,,,,,,
7,,,,,,,,,18,8,,,,,,,,,,,,
5,,,,,,,,,10,11,,,,,,,,,,,,
7,,,,,,,,,12,10,,,,,,,,,,,,
7,,,,,,,,,10,13,,,,,,,,,,,,
8,,,,,,,,,11,18,,,,,,,,,,,,
5,,,,,,,,,9,11,,,,,,,,,,,,
7,,,,,,,,,8,11,,,,,,,,,,,,
8,,,,,,,,,11,10,,,,,,,,,,,,
8,,,,,,,,,9,9,,,,,,,,,,,,
8,,,,,,,,,12,8,,,,,,,,,,,,
6,,,,,,,,,15,12,,,,,,,,,,,,
7,,,,,,,,,15,12,,,,,,,,,,,,
6,,,,,,,,,13,9,,,,,,,,,,,,
5,,,,,,,,,15,10,,,,,,,,,,,,
7,,,,,,,,,13,13,,,,,,,,,,,,
9,,,,,,,,,15,9,,,,,,,,,,,,
